比容量(mAh/g)	电压(V)	
58.27	1.6790	
58.45	1.6789	
58.63	1.6792	
58.82	1.6799	
59.00	1.6798	
59.18	1.6797	
59.37	1.6793	
59.55	1.6790	
59.73	1.6791	
59.92	1.6789	
60.10	1.6785	
60.28	1.6784	
60.46	1.6786	
60.65	1.6788	
60.83	1.6792	
61.01	1.6792	
61.20	1.6792	
61.38	1.6784	
61.56	1.6779	
61.75	1.6774	
61.93	1.6773	
62.11	1.6781	
62.30	1.6783	
62.48	1.6787	
62.66	1.6784	
62.85	1.6784	
63.03	1.6784	
63.21	1.5582	
63.40	1.4900	
63.58	1.5410	
63.76	1.5867	
63.95	1.6154	
64.13	1.6338	
64.31	1.6455	
64.50	1.6537	
64.68	1.6600	
64.86	1.6633	
65.05	1.6658	
65.23	1.6681	
65.41	1.6693	
65.60	1.6707	
65.78	1.6715	
65.96	1.6715	
66.14	1.6718	
66.33	1.6729	
66.51	1.6737	
66.69	1.6740	
66.88	1.6738	
67.06	1.6738	
67.24	1.6740	
67.43	1.6743	
67.61	1.6743	
67.79	1.6743	
67.98	1.6744	
68.16	1.6748	
68.34	1.6755	
68.53	1.6753	
68.71	1.6746	
68.89	1.6746	
69.08	1.6755	
69.26	1.6774	
69.44	1.6770	
69.63	1.6767	
69.81	1.6765	
69.99	1.6767	
70.18	1.6764	
70.36	1.6762	
70.54	1.6763	
70.73	1.6759	
70.91	1.6755	
71.09	1.6756	
71.28	1.6754	
71.46	1.6765	
71.64	1.6767	
71.82	1.6773	
72.01	1.6778	
72.19	1.6776	
72.37	1.6773	
72.56	1.6769	
72.74	1.6770	
72.92	1.6774	
73.11	1.6764	
73.29	1.6764	
73.47	1.6767	
73.66	1.6769	
73.84	1.4646	
74.02	1.4629	
74.21	1.5174	
74.39	1.5690	
74.57	1.6009	
74.76	1.6219	
74.94	1.6362	
75.12	1.6462	
75.31	1.6531	
75.49	1.6583	
75.67	1.6610	
75.86	1.6636	
76.04	1.6651	
76.22	1.6662	
76.41	1.6677	
76.59	1.6686	
76.77	1.6695	
76.96	1.6698	
77.14	1.6703	
77.32	1.6704	
77.50	1.6710	
77.69	1.6709	
77.87	1.6710	
78.05	1.6708	
78.24	1.6708	
78.42	1.6710	
78.60	1.6711	
78.79	1.6710	
78.97	1.6712	
79.15	1.6713	
79.34	1.6716	
79.52	1.6719	
79.70	1.6718	
79.89	1.6719	
80.07	1.6719	
80.25	1.6719	
80.44	1.6719	
80.62	1.6714	
80.80	1.6714	
80.99	1.6716	
81.17	1.6718	
81.35	1.6723	
81.54	1.6725	
81.72	1.6727	
81.90	1.6738	
82.09	1.6736	
82.27	1.6740	
82.45	1.6738	
82.64	1.6742	
82.82	1.6746	
83.00	1.6742	
83.18	1.6739	
83.37	1.6737	
83.55	1.6740	
83.73	1.6738	
83.92	1.6745	
84.10	1.6754	
84.28	1.6755	
84.47	1.4431	
84.65	1.4715	
84.83	1.5254	
85.02	1.5738	
85.20	1.6054	
85.38	1.6256	
85.57	1.6379	
85.75	1.6464	
85.93	1.6524	
86.12	1.6565	
86.30	1.6598	
86.48	1.6621	
86.67	1.6640	
86.85	1.6655	
87.03	1.6666	
87.22	1.6674	
87.40	1.6682	
87.58	1.6688	
87.77	1.6700	
87.95	1.6707	
88.13	1.6721	
88.32	1.6720	
88.50	1.6713	
88.68	1.6718	
88.86	1.6716	
89.05	1.6713	
89.23	1.6721	
89.41	1.6722	
89.60	1.6722	
89.78	1.6724	
89.96	1.6728	
90.15	1.6724	
90.33	1.6721	
90.51	1.6721	
90.70	1.6723	
90.88	1.6721	
91.06	1.6724	
91.25	1.6726	
91.43	1.6724	
91.61	1.6727	
91.80	1.6720	
91.98	1.6727	
92.16	1.6727	
92.35	1.6727	
92.53	1.6726	
92.71	1.6733	
92.90	1.6735	
93.08	1.6735	
93.26	1.6732	
93.45	1.6729	
93.63	1.6724	
93.81	1.6724	
94.00	1.6725	
94.18	1.6738	
94.36	1.6742	
94.54	1.6751	
94.73	1.4323	
94.91	1.4316	
95.09	1.4840	
95.28	1.5388	
95.46	1.5849	
95.64	1.6111	
95.83	1.6300	
96.01	1.6407	
96.19	1.6490	
96.38	1.6543	
96.56	1.6593	
96.74	1.6627	
96.93	1.6646	
97.11	1.6661	
97.29	1.6666	
97.48	1.6672	
97.66	1.6673	
97.84	1.6676	
98.03	1.6678	
98.21	1.6676	
98.39	1.6676	
98.58	1.6677	
98.76	1.6689	
98.94	1.6718	
99.13	1.6726	
99.31	1.6724	
99.49	1.6716	
99.68	1.6715	
99.86	1.6709	
100.04	1.6701	
100.22	1.6700	
100.41	1.6693	
100.59	1.6688	
100.77	1.6689	
100.96	1.6687	
101.14	1.6688	
101.32	1.6687	
101.51	1.6687	
101.69	1.6688	
101.87	1.6694	
102.06	1.6693	
102.24	1.6691	
102.42	1.6691	
102.61	1.6691	
102.79	1.6698	
102.97	1.6700	
103.16	1.6697	
103.34	1.6701	
103.52	1.6697	
103.71	1.6703	
103.89	1.6702	
104.07	1.6706	
104.26	1.6706	
104.44	1.6705	
104.62	1.6706	
104.81	1.6705	
104.99	1.6700	
105.17	1.5357	
105.36	1.3804	
105.54	1.4086	
105.72	1.4583	
105.91	1.5101	
106.09	1.5603	
106.27	1.5936	
106.45	1.6130	
106.64	1.6262	
106.82	1.6356	
107.00	1.6420	
107.19	1.6470	
107.37	1.6511	
107.55	1.6532	
107.74	1.6554	
107.92	1.6569	
108.10	1.6587	
108.29	1.6593	
108.47	1.6600	
108.65	1.6608	
108.84	1.6616	
109.02	1.6625	
109.20	1.6636	
109.39	1.6639	
109.57	1.6657	
109.75	1.6647	
109.94	1.6653	
110.12	1.6652	
110.30	1.6665	
110.49	1.6681	
110.67	1.6694	
110.85	1.6692	
111.04	1.6706	
111.22	1.6719	
111.40	1.6716	
111.59	1.6716	
111.77	1.6709	
111.95	1.6710	
112.13	1.6716	
112.32	1.6712	
112.50	1.6708	
112.68	1.6705	
112.87	1.6698	
113.05	1.6703	
113.23	1.6701	
113.42	1.6706	
113.60	1.6712	
113.78	1.6710	
113.97	1.6705	
114.15	1.6702	
114.33	1.6709	
114.52	1.6707	
114.70	1.6708	
114.88	1.6710	
115.07	1.6716	
115.25	1.6730	
115.43	1.6728	
115.62	1.6720	
115.80	1.3897	
115.98	1.4123	
116.17	1.4644	
116.35	1.5174	
116.53	1.5694	
116.72	1.5994	
116.90	1.6190	
117.08	1.6315	
117.27	1.6398	
117.45	1.6476	
117.63	1.6542	
117.81	1.6585	
118.00	1.6604	
118.18	1.6630	
118.36	1.6650	
118.55	1.6651	
118.73	1.6657	
118.91	1.6664	
119.10	1.6678	
119.28	1.6683	
119.46	1.6692	
119.65	1.6692	
119.83	1.6702	
120.01	1.6706	
120.20	1.6707	
120.38	1.6716	
120.56	1.6713	
120.75	1.6725	
120.93	1.6717	
121.11	1.6722	
121.30	1.6724	
121.48	1.6731	
121.66	1.6731	
121.85	1.6718	
122.03	1.6717	
122.21	1.6730	
122.40	1.6738	
122.58	1.6736	
122.76	1.6720	
122.95	1.6713	
123.13	1.6709	
123.31	1.6713	
123.49	1.6711	
123.68	1.6718	
123.86	1.6723	
124.04	1.6723	
124.23	1.6722	
124.41	1.6716	
124.59	1.6706	
124.78	1.6698	
124.96	1.6697	
125.14	1.6705	
125.33	1.6710	
125.51	1.6702	
125.69	1.6696	
125.88	1.3700	
126.06	1.3931	
126.24	1.4444	
126.43	1.4915	
126.61	1.5390	
