比容量(mAh/g)	电压(V)	
254.50	1.6276	
254.69	1.6290	
254.87	1.6300	
255.05	1.6337	
255.24	1.6347	
255.42	1.6364	
255.60	1.6367	
255.79	1.6369	
255.97	1.6379	
256.15	1.6405	
256.33	1.6393	
256.52	1.6399	
256.70	1.6396	
256.88	1.6383	
257.07	1.6378	
257.25	1.6383	
257.43	1.6392	
257.62	1.6393	
257.80	1.6421	
257.98	1.6429	
258.17	1.6429	
258.35	1.6434	
258.53	1.6451	
258.72	1.6458	
258.90	1.6459	
259.08	1.6451	
259.27	1.6457	
259.45	1.6449	
259.63	1.6437	
259.82	1.6436	
260.00	1.6436	
260.18	1.6446	
260.37	1.4259	
260.55	1.3174	
260.73	1.3273	
260.92	1.3654	
261.10	1.4079	
261.28	1.4466	
261.47	1.4754	
261.65	1.5092	
261.83	1.5426	
262.01	1.5662	
262.20	1.5819	
262.38	1.5947	
262.56	1.6035	
262.75	1.6080	
262.93	1.6142	
263.11	1.6197	
263.30	1.6225	
263.48	1.6266	
263.66	1.6297	
263.85	1.6304	

比容量(mAh/g)	电压(V)	
0.00	0.5106	
0.00	0.5106	
